date,tavg,tmin,tmax,prcp,wspd,pres,tsun
2020-01-01,4.6,2.4,6.8,49.0,,1021.1,3678
2020-02-01,6.3,4.0,8.6,89.2,,1010.0,2820
2020-03-01,5.7,2.1,9.5,47.6,,1017.8,9966
2020-04-01,10.7,5.2,16.3,7.7,,1018.4,17754
2020-05-01,12.3,7.3,16.7,26.9,,1019.3,13554
2020-06-01,18.8,14.1,23.0,53.3,,1012.7,14100
2020-07-01,18.0,13.5,22.2,46.7,,1015.3,13320
2020-08-01,21.1,16.3,26.1,37.5,,1013.3,14436
2020-09-01,15.4,10.8,20.5,44.8,,1016.5,12762
2020-10-01,11.1,8.7,13.9,70.0,,1011.5,3780
2020-11-01,7.2,5.0,9.6,10.3,,1023.2,4014
2020-12-01,3.5,1.9,5.4,26.3,,1009.2,2862
2021-01-01,0.9,-0.5,2.4,63.5,,1010.0,1344
2021-02-01,1.4,-1.7,4.9,44.4,,1020.7,5490
2021-03-01,5.4,2.0,9.1,39.5,,1019.8,8592
2021-04-01,6.8,3.0,10.6,26.8,,1017.6,9360
2021-05-01,12.0,8.0,15.9,61.6,,1010.9,11184
2021-06-01,20.6,15.1,25.6,40.7,,1017.0,16128
2021-07-01,20.3,16.2,24.3,91.4,,1013.9,12714
2021-08-01,17.1,13.5,20.8,112.2,,1014.2,9546
2021-09-01,15.6,12.1,19.6,20.7,,1018.6,8334
2021-10-01,10.0,6.6,14.1,26.5,,1018.2,8634
2021-11-01,6.0,4.2,7.7,66.7,,1014.4,2190
2021-12-01,1.9,0.1,3.5,47.6,,1014.2,2004
2022-01-01,3.5,1.7,4.9,37.2,,1020.1,1944
2022-02-01,5.0,2.7,7.7,73.4,,1012.8,3678
2022-03-01,5.5,1.0,10.6,2.4,,1027.3,14730
2022-04-01,8.5,4.2,12.5,32.0,,1014.4,10758
2022-05-01,15.2,10.1,19.8,20.2,,1017.5,14580
2022-06-01,20.7,14.0,26.8,22.0,,1015.7,16692
2022-07-01,19.4,14.2,24.6,33.0,,1018.6,15516
2022-08-01,21.0,16.1,25.9,58.5,,1017.2,13560
2022-09-01,13.5,10.0,17.7,47.4,,1012.7,9455
2022-10-01,12.3,8.7,16.8,23.3,,1018.8,9043
2022-11-01,5.9,3.7,8.5,9.2,,1015.7,4729
2022-12-01,1.8,0.3,3.3,49.9,,1014.7,2096
2023-01-01,4.3,2.5,6.0,65.2,,1014.8,2331
2023-02-01,3.4,0.8,6.2,43.4,,1024.4,4863
2023-03-01,5.8,2.8,9.0,69.4,,1009.3,5557
2023-04-01,8.2,4.5,11.6,47.5,,1017.2,8295
2023-05-01,14.1,8.5,19.1,14.1,,1020.8,17337
2023-06-01,19.3,13.9,24.2,77.0,,1017.2,15985
2023-07-01,19.4,14.7,24.0,74.1,,1011.8,14030
2023-08-01,19.1,15.1,23.1,57.2,,1012.8,11027
2023-09-01,18.2,12.9,24.0,21.6,,1017.6,14979
2023-10-01,11.9,9.3,15.0,113.3,,1010.1,4733
2023-11-01,5.8,3.7,7.9,64.4,,1005.0,3038
2023-12-01,4.0,2.6,5.4,116.7,,1010.8,1141
2024-01-01,1.9,-0.1,3.9,45.7,,1016.2,3023
2024-02-01,7.2,4.8,9.6,71.2,,1010.5,3217
2024-03-01,8.3,4.5,12.5,35.3,,1010.0,8762
2024-04-01,11.3,7.1,15.5,26.0,,1013.1,9281
2024-05-01,17.2,12.2,21.9,34.5,,1013.9,13791
2024-06-01,17.9,13.1,22.2,48.5,,1013.0,13248
2024-07-01,19.9,15.0,24.5,102.4,,1014.0,14579
2024-08-01,20.7,15.5,25.7,31.6,,1014.6,15250
2024-09-01,16.8,12.7,21.4,41.4,,1015.0,12022
2024-10-01,11.3,8.3,14.8,26.6,,1017.4,6645
2024-11-01,5.5,3.5,7.4,53.7,,1019.8,2196
2024-12-01,4.2,2.6,5.6,36.4,,1020.1,1105
2025-01-01,2.8,0.9,4.7,54.9,,1014.6,2148
2025-02-01,1.3,-1.3,4.3,16.0,,1026.6,4171
2025-03-01,6.5,2.4,11.4,8.7,,1017.5,8695
2025-04-01,12.0,7.1,17.0,13.7,,1018.2,9862
2025-05-01,13.4,8.5,17.7,33.8,,1015.5,8960
2025-06-01,18.8,14.1,23.3,34.6,,1016.8,12374
2025-07-01,19.1,15.2,22.9,127.4,,1012.2,11237
2025-08-01,18.5,13.5,23.5,24.5,,1015.2,15338
2025-09-01,15.4,11.3,19.9,34.8,,1017.8,11101
2025-10-01,10.1,7.7,12.9,63.1,,1013.7,5374
2025-11-01,5.0,3.0,7.6,40.7,,1013.6,4344
2025-12-01,3.3,1.4,5.3,12.1,,1020.3,3487
